Length;Depth until soil surface;Water Depth;Water height;Depth until water surface
0;0;0;0;0
0.05;0.02;0;0;0.02
0.1;0.02;0;0;0.02
0.15;0.04;0;0;0.04
0.2;0.08;0;0;0.08
0.25;0.13;0;0;0.13
0.3;0.16;0;0;0.16
0.35;0.23;0;0;0.23
0.4;0.31;0;0;0.31
0.45;0.4;0;0;0.4
0.5;0.61;0.08;0.53;0.53
0.55;0.6;0.08;0.52;0.52
0.6;0.62;0.09;0.53;0.53
0.65;0.62;0.09;0.53;0.53
0.7;0.64;0.1;0.54;0.54
0.75;0.63;0.1;0.53;0.53
0.8;0.65;0.11;0.54;0.54
0.85;0.58;0.05;0.53;0.53
0.9;0.62;0.08;0.54;0.54
0.95;0.62;0.09;0.53;0.53
1;0.61;0.07;0.54;0.54
1.05;0.62;0.07;0.55;0.55
1.1;0.39;0;0;0.39
1.15;0.36;0;0;0.36
1.2;0.33;0;0;0.33
1.25;0.31;0;0;0.31
1.3;0.3;0;0;0.3
1.35;0.28;0;0;0.28
1.4;0.25;0;0;0.25
1.45;0.24;0;0;0.24
1.5;0.22;0;0;0.22
1.55;0.2;0;0;0.2
1.6;0.17;0;0;0.17
1.65;0.18;0;0;0.18
1.7;0.12;0;0;0.12
1.75;0.11;0;0;0.11
1.8;0.08;0;0;0.08
1.85;0.06;0;0;0.06
1.9;0.05;0;0;0.05
1.95;0.02;0;0;0.02
2;0;0;0;0
