Length;Depth until soil surface (cm);Water Depth;Water height;Depth until water surface (cm)
0;0;0;0;0
0.05;0.02;0;0.02;0.02
0.1;0.03;0;0.03;0.03
0.15;0.04;0;0.04;0.04
0.2;0.11;0;0.11;0.11
0.25;0.62;0;0.62;0.62
0.3;0.66;0;0.66;0.66
0.35;0.69;0;0.69;0.69
0.4;0.98;0.12;0.86;0.86
0.45;0.98;0.12;0.86;0.86
0.5;0.96;0.09;0.87;0.87
0.55;0.86;0;0.86;0.86
0.6;0.78;0;0.78;0.78
0.65;0.73;0;0.73;0.73
0.7;0.24;0;0.24;0.24
0.75;0.14;0;0.14;0.14
0.8;0.12;0;0.12;0.12
0.85;0.1;0;0.1;0.1
0.9;0.09;0;0.09;0.09
0.95;0.09;0;0.09;0.09
1;0.06;0;0.06;0.06
1.05;0.05;0;0.05;0.05
1.1;0.04;0;0.04;0.04
1.15;0;0;0;0
