XCoord,YCoord,RASTERVALU,DISTANCE
584988.32500000,4732382.55900000,566.396179,0.000000
584988.32900000,4732382.60900000,566.396179,0.050000
584988.33200000,4732382.65900000,566.396179,0.100000
584988.33600000,4732382.70900000,566.364502,0.150000
584988.33900000,4732382.75800000,566.364502,0.200000
584988.34300000,4732382.80800000,566.362610,0.250000
584988.34600000,4732382.85800000,566.362610,0.300000
584988.35000000,4732382.90800000,566.357788,0.350000
584988.35300000,4732382.95800000,566.357788,0.400000
584988.35600000,4732383.00800000,566.357788,0.450000
584988.36000000,4732383.05800000,566.349731,0.500000
584988.36300000,4732383.10800000,566.349731,0.550000
584988.36700000,4732383.15700000,566.346130,0.600000
584988.37000000,4732383.20700000,566.346130,0.650000
584988.37400000,4732383.25700000,566.346130,0.700000
584988.37700000,4732383.30700000,566.341797,0.750000
584988.38100000,4732383.35700000,566.341797,0.800000
584988.38400000,4732383.40700000,566.339111,0.850000
584988.38700000,4732383.45700000,566.339111,0.900000
584988.39100000,4732383.50700000,566.339111,0.950000
584988.39400000,4732383.55700000,566.337402,1.000000
584988.39800000,4732383.60600000,566.337402,1.050000
584988.40100000,4732383.65600000,566.336487,1.100000
584988.40500000,4732383.70600000,566.336487,1.150000
584988.40800000,4732383.75600000,566.336487,1.200000
584988.41200000,4732383.80600000,566.327271,1.250000
584988.41500000,4732383.85600000,566.327271,1.300000
584988.41800000,4732383.90600000,566.299316,1.350000
584988.42200000,4732383.95600000,566.299316,1.400000
584988.42500000,4732384.00500000,566.299316,1.450000
