Length;Depth until soil surface;Water Depth;Water height;Depth until water surface
0;0;0;0;0
0.05;0.04;0;0;0.04
0.1;0.1;0;0;0.1
0.15;0.12;0;0;0.12
0.2;0.19;0;0;0.19
0.25;0.24;0;0;0.24
0.3;0.29;0;0;0.29
0.35;0.45;0;0;0.45
0.4;0.52;0;0;0.52
0.45;0.55;0;0;0.55
0.5;0.69;0;0.69;0.69
0.55;0.77;0.07;0.7;0.7
0.6;0.76;0.06;0.7;0.7
0.65;0.71;0.01;0.7;0.7
0.7;0.65;0;0.65;0.65
0.75;0.59;0;0;0.59
0.8;0.51;0;0;0.51
0.85;0.48;0;0;0.48
0.9;0.44;0;0;0.44
0.95;0.22;0;0;0.22
1;0.2;0;0;0.2
1.05;0.17;0;0;0.17
1.1;0.12;0;0;0.12
1.15;0.09;0;0;0.09
1.2;0.09;0;0;0.09
1.25;0.08;0;0;0.08
1.3;0.03;0;0;0.03
1.35;0;0;0;0
